strategy,mode,target_pair,finalized_at,slug,status,action,shares,detected_pair_price,detected_best_ask_a,detected_best_ask_b,execution_leg_a_avg,execution_leg_b_avg,execution_latency_ms,recovery_latency_ms,recovery_filled_leg,recovery_completion_avg,recovery_unwind_avg,filled_qty_a,filled_qty_b,matched_qty,initial_queue_ahead_a,initial_queue_ahead_b,maker_inventory_probability,maker_avg_inventory_loss_per_share,maker_empirical_reserve_per_share,realized_pnl,equity_after
MAKER-99,MAKER,0.99,2026-09-07T11:08:43.459301Z,btc-updown-15m-1788778800,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,0.99,,,,,,,,,,5,0,0,35.46,246.8,1,0.017392,0.017392,-0.086960,-0.086960
MAKER-98,MAKER,0.98,2026-09-07T11:08:43.459720Z,btc-updown-15m-1788778800,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,0.98,,,,,,,,,,5,0,0,35.46,318,1,0.017392,0.017392,-0.086960,-0.086960
HYBRID-99,HYBRID,0.99,2026-09-07T11:08:43.460122Z,btc-updown-15m-1788778800,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,0.99,,,,,,,,,,5,0,0,35.46,246.8,1,0.017392,0.017392,-0.086960,-0.086960
HYBRID-98,HYBRID,0.98,2026-09-07T11:08:43.460436Z,btc-updown-15m-1788778800,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,0.98,,,,,,,,,,5,0,0,35.46,318,1,0.017392,0.017392,-0.086960,-0.086960
HYBRID-99,HYBRID,0.99,2026-09-07T11:08:52.800145Z,btc-updown-15m-1788778800,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,0.99,,,,,,,,,,5,0,0,50,124,1,0.016846,0.016846,-0.0815,-0.168460
HYBRID-98,HYBRID,0.98,2026-09-07T11:08:52.800531Z,btc-updown-15m-1788778800,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,0.98,,,,,,,,,,5,0,0,50,348,1,0.016846,0.016846,-0.0815,-0.168460
MAKER-99,MAKER,0.99,2026-09-07T11:08:52.801104Z,btc-updown-15m-1788778800,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,0.99,,,,,,,,,,5,0,0,50,124,1,0.016846,0.016846,-0.0815,-0.168460
MAKER-98,MAKER,0.98,2026-09-07T11:08:52.801414Z,btc-updown-15m-1788778800,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,0.98,,,,,,,,,,5,0,0,50,348,1,0.016846,0.016846,-0.0815,-0.168460
HYBRID-99,HYBRID,0.99,2026-09-07T11:09:33.242625Z,btc-updown-15m-1788778800,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,0.99,,,,,,,,,,5,0,0,260.49,75,1,0.01961466666666666666666666667,0.01961466666666666666666666667,-0.125760,-0.294220
HYBRID-98,HYBRID,0.98,2026-09-07T11:09:33.243025Z,btc-updown-15m-1788778800,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,0.98,,,,,,,,,,5,0,0,260.49,100,1,0.01961466666666666666666666667,0.01961466666666666666666666667,-0.125760,-0.294220
MAKER-99,MAKER,0.99,2026-09-07T11:09:34.388572Z,btc-updown-15m-1788778800,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,0.99,,,,,,,,,,5,0,0,260.49,75,1,0.01961466666666666666666666667,0.01961466666666666666666666667,-0.125760,-0.294220
MAKER-98,MAKER,0.98,2026-09-07T11:09:34.389026Z,btc-updown-15m-1788778800,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,0.98,,,,,,,,,,5,0,0,260.49,100,1,0.01961466666666666666666666667,0.01961466666666666666666666667,-0.125760,-0.294220
MAKER-99,MAKER,0.99,2026-09-07T11:10:38.249118Z,btc-updown-15m-1788778800,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,0.99,,,,,,,,,,0,5,0,75,75,1,0.01919025,0.01919025,-0.089585,-0.383805
HYBRID-99,HYBRID,0.99,2026-09-07T11:10:38.249761Z,btc-updown-15m-1788778800,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,0.99,,,,,,,,,,0,5,0,75,75,1,0.01919025,0.01919025,-0.089585,-0.383805
HYBRID-99,HYBRID,0.99,2026-09-07T11:11:17.329039Z,btc-updown-15m-1788778800,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,0.99,,,,,,,,,,5,0,0,118.08,140,1,0.0201116,0.0201116,-0.118985,-0.502790
HYBRID-98,HYBRID,0.98,2026-09-07T11:11:17.329807Z,btc-updown-15m-1788778800,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,0.98,,,,,,,,,,5,0,0,118.08,181,1,0.02066025,0.02066025,-0.118985,-0.413205
MAKER-99,MAKER,0.99,2026-09-07T11:11:18.018057Z,btc-updown-15m-1788778800,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,0.99,,,,,,,,,,5,0,0,118.08,140,1,0.0153522,0.0153522,0.0265,-0.357305
MAKER-98,MAKER,0.98,2026-09-07T11:11:18.018687Z,btc-updown-15m-1788778800,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,0.98,,,,,,,,,,5,0,0,118.08,181,1,0.014711,0.014711,0.0265,-0.267720
HYBRID-99,HYBRID,0.99,2026-09-07T11:11:37.203107Z,btc-updown-15m-1788778800,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,0.99,,,,,,,,,,5,0,0,119,573.35,1,0.0210805,0.0210805,-0.129625,-0.632415
HYBRID-98,HYBRID,0.98,2026-09-07T11:11:37.203566Z,btc-updown-15m-1788778800,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,0.98,,,,,,,,,,5,0,0,119,115,1,0.0217132,0.0217132,-0.129625,-0.542830
MAKER-99,MAKER,0.99,2026-09-07T11:11:38.925103Z,btc-updown-15m-1788778800,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,0.99,,,,,,,,,,5,0,0,119,573.35,1,0.0154115,0.0154115,-0.078540,-0.435845
