strategy,mode,target_pair,target_net_edge_per_share,completion_latency_ms,regime,finalized_at,slug,status,action,shares,maker_side,hedge_side,maker_price,maker_fill_qty,taker_fee_paid,taker_rebate_pnl_scenarios,detected_pair_price,detected_best_ask_a,detected_best_ask_b,execution_leg_a_avg,execution_leg_b_avg,execution_latency_ms,recovery_latency_ms,recovery_filled_leg,recovery_completion_avg,recovery_unwind_avg,filled_qty_a,filled_qty_b,matched_qty,initial_queue_ahead_a,initial_queue_ahead_b,initial_queue_ahead,maker_inventory_probability,maker_avg_inventory_loss_per_share,maker_empirical_reserve_per_share,realized_pnl,equity_after
MAKER-99,MAKER,0.99,,,,2026-09-07T11:58:21.520214Z,btc-updown-15m-1788781500,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,,,,,,,0.99,,,,,,,,,,5,0,0,231.14,110.38,,1,0.015733,0.015733,-0.078665,-0.078665
MAKER-98,MAKER,0.98,,,,2026-09-07T11:58:21.520616Z,btc-updown-15m-1788781500,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,,,,,,,0.98,,,,,,,,,,5,0,0,231.14,896,,1,0.015733,0.015733,-0.078665,-0.078665
HYBRID-99,HYBRID,0.99,,,,2026-09-07T11:58:21.521101Z,btc-updown-15m-1788781500,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,,,,,,,0.99,,,,,,,,,,5,0,0,231.14,110.38,,1,0.015733,0.015733,-0.078665,-0.078665
HYBRID-98,HYBRID,0.98,,,,2026-09-07T11:58:21.521437Z,btc-updown-15m-1788781500,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,,,,,,,0.98,,,,,,,,,,5,0,0,231.14,896,,1,0.015733,0.015733,-0.078665,-0.078665
HYBRID-99,HYBRID,0.99,,,,2026-09-07T11:58:47.006682Z,btc-updown-15m-1788781500,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,,,,,,,0.96,,,,,,,,,,5,0,0,79.56,21,,1,0.0078665,0.0078665,0.039815,-0.038850
HYBRID-98,HYBRID,0.98,,,,2026-09-07T11:58:47.007036Z,btc-updown-15m-1788781500,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,,,,,,,0.96,,,,,,,,,,5,0,0,79.56,21,,1,0.0078665,0.0078665,0.039815,-0.038850
MAKER-99,MAKER,0.99,,,,2026-09-07T11:58:47.007520Z,btc-updown-15m-1788781500,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,,,,,,,0.99,,,,,,,,,,5,0,0,79.56,33.54,,1,0.0078665,0.0078665,0.039815,-0.038850
MAKER-98,MAKER,0.98,,,,2026-09-07T11:58:47.007819Z,btc-updown-15m-1788781500,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,,,,,,,0.98,,,,,,,,,,5,0,0,79.56,250.02,,1,0.0078665,0.0078665,0.039815,-0.038850
HYBRID-99,HYBRID,0.99,,,,2026-09-07T11:59:13.473802Z,btc-updown-15m-1788781500,MAKER_PLUS_TAKER_COMPLETED,MERGE_COMPLETE_SET,5,,,,,,,0.95,,,,,,,,,,5,5,5,65.28,25,,0.6666666666666666666666666667,0.0078665,0.005244333333333333333333333334,0.124240,0.085390
HYBRID-98,HYBRID,0.98,,,,2026-09-07T11:59:13.474220Z,btc-updown-15m-1788781500,MAKER_PLUS_TAKER_COMPLETED,MERGE_COMPLETE_SET,5,,,,,,,0.95,,,,,,,,,,5,5,5,65.28,25,,0.6666666666666666666666666667,0.0078665,0.005244333333333333333333333334,0.124240,0.085390
MAKER-99,MAKER,0.99,,,,2026-09-07T11:59:14.205652Z,btc-updown-15m-1788781500,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,,,,,,,0.99,,,,,,,,,,5,0,0,65.28,371.93,,1,0.005244333333333333333333333333,0.005244333333333333333333333333,0.124240,0.085390
MAKER-98,MAKER,0.98,,,,2026-09-07T11:59:14.206022Z,btc-updown-15m-1788781500,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,,,,,,,0.98,,,,,,,,,,5,0,0,65.28,0,,1,0.005244333333333333333333333333,0.005244333333333333333333333333,0.124240,0.085390
TAKER,,,,,,2026-09-07T11:59:18.654588Z,btc-updown-15m-1788781500,NEITHER_FILLED,NO_POSITION,100,,,,,,,0.99,0.98,0.01,,,206.35852800023713,,,,,,,,,,,,,,0,0
HYBRID-99,HYBRID,0.99,,,,2026-09-07T12:02:00.958532Z,btc-updown-15m-1788782400,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,,,,,,,0.99,,,,,,,,,,5,0,0,100,108.36,,0.75,0.01440166666666666666666666667,0.01080125000000000000000000000,-0.137360,-0.051970
HYBRID-98,HYBRID,0.98,,,,2026-09-07T12:02:00.959020Z,btc-updown-15m-1788782400,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,,,,,,,0.98,,,,,,,,,,5,0,0,100,172,,0.75,0.01440166666666666666666666667,0.01080125000000000000000000000,-0.137360,-0.051970
MAKER-99,MAKER,0.99,,,,2026-09-07T12:02:01.769876Z,btc-updown-15m-1788782400,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,,,,,,,0.99,,,,,,,,,,5,0,0,100,108.36,,1,0.0083065,0.0083065,-0.087465,-0.002075
MAKER-98,MAKER,0.98,,,,2026-09-07T12:02:01.770200Z,btc-updown-15m-1788782400,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,,,,,,,0.98,,,,,,,,,,5,0,0,100,172,,1,0.0083065,0.0083065,-0.087465,-0.002075
HYBRID-99,HYBRID,0.99,,,,2026-09-07T12:03:56.741846Z,btc-updown-15m-1788782400,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,,,,,,,0.99,,,,,,,,,,5,0,0,23.36,421.03,,0.8,0.01742425,0.013939400,-0.132460,-0.184430
HYBRID-98,HYBRID,0.98,,,,2026-09-07T12:03:56.742282Z,btc-updown-15m-1788782400,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,,,,,,,0.98,,,,,,,,,,5,0,0,23.36,267,,0.8,0.01742425,0.013939400,-0.132460,-0.184430
MAKER-99,MAKER,0.99,,,,2026-09-07T12:04:01.751864Z,btc-updown-15m-1788782400,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,,,,,,,0.99,,,,,,,,,,5,0,0,23.36,421.03,,1,0.0119436,0.0119436,-0.132460,-0.134535
MAKER-98,MAKER,0.98,,,,2026-09-07T12:04:01.752251Z,btc-updown-15m-1788782400,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,,,,,,,0.98,,,,,,,,,,5,0,0,23.36,267,,1,0.0119436,0.0119436,-0.132460,-0.134535
HYBRID-99,HYBRID,0.99,,,,2026-09-07T12:08:41.267831Z,btc-updown-15m-1788782400,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,,,,,,,0.99,,,,,,,,,,5,0,0,372.08,100,,0.8333333333333333333333333333,0.0177244,0.01477033333333333333333333333,-0.094625,-0.279055
HYBRID-98,HYBRID,0.98,,,,2026-09-07T12:08:41.268220Z,btc-updown-15m-1788782400,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,,,,,,,0.98,,,,,,,,,,5,0,0,372.08,444.34,,0.8333333333333333333333333333,0.0177244,0.01477033333333333333333333333,-0.094625,-0.279055
MAKER-99,MAKER,0.99,,,,2026-09-07T12:08:41.269111Z,btc-updown-15m-1788782400,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,,,,,,,0.99,,,,,,,,,,5,0,0,372.08,100,,1,0.01310716666666666666666666667,0.01310716666666666666666666667,-0.094625,-0.229160
MAKER-98,MAKER,0.98,,,,2026-09-07T12:08:41.269431Z,btc-updown-15m-1788782400,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,,,,,,,0.98,,,,,,,,,,5,0,0,372.08,444.34,,1,0.01310716666666666666666666667,0.01310716666666666666666666667,-0.094625,-0.229160
HYBRID-99,HYBRID,0.99,,,,2026-09-07T12:08:58.434377Z,btc-updown-15m-1788782400,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,,,,,,,0.99,,,,,,,,,,0,5,0,157.41,252.87,,0.8571428571428571428571428571,0.01950833333333333333333333333,0.01672142857142857142857142857,-0.142140,-0.421195
MAKER-99,MAKER,0.99,,,,2026-09-07T12:08:58.520849Z,btc-updown-15m-1788782400,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,,,,,,,0.99,,,,,,,,,,0,5,0,157.41,252.87,,1,0.01665142857142857142857142857,0.01665142857142857142857142857,-0.189585,-0.418745
MAKER-99,MAKER,0.99,,,,2026-09-07T12:09:22.732075Z,btc-updown-15m-1788782400,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,,,,,,,0.99,,,,,,,,,,5,0,0,125,40.11,,1,0.014570,0.014570,0.063040,-0.355705
