strategy,mode,target_pair,target_net_edge_per_share,target_edge_per_share,completion_latency_ms,grace_ms,fixed_size,regime,finalized_at,slug,status,action,shares,maker_side,hedge_side,maker_price,maker_fill_qty,sell_price_a,sell_price_b,taker_fee_paid,taker_rebate_pnl_scenarios,detected_pair_price,detected_best_ask_a,detected_best_ask_b,execution_leg_a_avg,execution_leg_b_avg,execution_latency_ms,recovery_latency_ms,recovery_filled_leg,recovery_completion_avg,recovery_unwind_avg,filled_qty_a,filled_qty_b,matched_qty,initial_queue_ahead_a,initial_queue_ahead_b,initial_queue_ahead,maker_inventory_probability,maker_avg_inventory_loss_per_share,maker_empirical_reserve_per_share,realized_pnl,equity_after
TAKER,,,,,,,,,2026-09-07T15:08:09.722534Z,btc-updown-15m-1788793200,ONE_LEG_MISS,COMPLETE_MISSING_LEG,100,,,,,,,,,0.98,0.06,0.92,0.06,,205.01153400073235,101.28487200017844,A,0.95,0.05,,,,,,,,,,-1.927300,-1.927300
HYBRID-99,HYBRID,0.99,,,,,,,2026-09-07T15:10:47.740762Z,btc-updown-15m-1788793200,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,,,,,,,,,0.99,,,,,,,,,,0,5,0,309.25,5,,1,0.014557,0.014557,-0.072785,-0.072785
MAKER-99,MAKER,0.99,,,,,,,2026-09-07T15:10:47.741780Z,btc-updown-15m-1788793200,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,,,,,,,,,0.99,,,,,,,,,,0,5,0,309.25,5,,1,0.014557,0.014557,-0.072785,-0.072785
HYBRID-97,HYBRID,0.97,,,,,,,2026-09-07T15:11:51.238833Z,btc-updown-15m-1788793200,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,,,,,,,,,0.97,,,,,,,,,,5,0,0,558,558.91,,1,0.02,0.02,-0.10,-0.10
HYBRID-96,HYBRID,0.96,,,,,,,2026-09-07T15:11:51.239204Z,btc-updown-15m-1788793200,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,,,,,,,,,0.96,,,,,,,,,,5,0,0,558,3759,,1,0.02,0.02,-0.10,-0.10
MAKER-97,MAKER,0.97,,,,,,,2026-09-07T15:11:56.241705Z,btc-updown-15m-1788793200,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,,,,,,,,,0.97,,,,,,,,,,5,0,0,558,558.91,,1,0.02,0.02,-0.10,-0.10
MAKER-96,MAKER,0.96,,,,,,,2026-09-07T15:11:56.242350Z,btc-updown-15m-1788793200,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,,,,,,,,,0.96,,,,,,,,,,5,0,0,558,3759,,1,0.02,0.02,-0.10,-0.10
MAKER-99,MAKER,0.99,,,,,,,2026-09-07T15:12:35.590537Z,btc-updown-15m-1788793200,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,,,,,,,,,0.984,,,,,,,,,,5,0,0,0,0,,1,0.01134836,0.01134836,-0.04069860,-0.11348360
MAKER-98,MAKER,0.98,,,,,,,2026-09-07T15:12:35.590873Z,btc-updown-15m-1788793200,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,,,,,,,,,0.974,,,,,,,,,,5,0,0,0,0,,1,0.00813972,0.00813972,-0.04069860,-0.04069860
MAKER-97,MAKER,0.97,,,,,,,2026-09-07T15:12:35.591135Z,btc-updown-15m-1788793200,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,,,,,,,,,0.961,,,,,,,,,,5,0,0,0,0,,1,0.01406986,0.01406986,-0.04069860,-0.14069860
MAKER-96,MAKER,0.96,,,,,,,2026-09-07T15:12:35.591357Z,btc-updown-15m-1788793200,PARTIAL_OR_ONE_SIDED_EXIT,UNWIND_RESIDUAL_INVENTORY,5,,,,,,,,,0.951,,,,,,,,,,5,0,0,0,0,,1,0.01406986,0.01406986,-0.04069860,-0.14069860
